4684,U,3.00,HISTRY 307,Recent Amer 1945-Present,HIST 346,4690,GH,Recent America: 1953-Present,
4684,,3.00,HISTRY EL,History Elective,HIST 355,4690,,Evolution of Modern China,
4684,,3.00,HISTRY EL,History Elective,HIST 357,4690,,Emergence of Modern Japan,
4684,,3.00,HISTRY EL,History Elective,HIST 373,4690,,Social History of Europe,
4684,,3.00,GEN EL,General Elective,GSCI 102,4690,GM,Science and Pseudoscience,
4684,L,4.00,PHYSCS 130,Physics Foundations,GSCI 103,4690,GL,Physical Science,
4684,,3.00,GEN EL,General Elective,GSCI 105,4690,GM,Foundations of Science I,
4684,,3.00,GEN EL,General Elective,GSCI 106,4690,GM,Foundations of Science II,
4684,,3.00,GEN EL,General Elective,GSCI 195,4690,,Fr Seminar-Science,
4684,,1.00,GEN EL,General Elective,GSCI 290,4690,,Special Topics,"263, 8"
4684,,3.00,HISTRY EL,History Elective,HIST 490,4690,,Special Topics,8
4684,L,1.00,PEGNRL 150,Beginning Swim Level 4,HESM 105,4690,GP,Beginning Swimming,
4684,L,1.00,PEGNRL 158,Beg Skin & Scuba Diving,HESM 110,4690,GP,Scuba Diving,
4684,L,1.00,PEGNRL 150,Beginning Swim Level 4,HESM 112,4690,GP,Swim For Fitness,
4684,L,1.00,PEGNRL 104,Beginning Badminton,HESM 113,4690,GP,Badminton,
4684,,1.00,PEGNRL EL,Physical Education General Elective,HESM 114,4690,GP,Emergency Water Safety,
4684,,1.00,PEGNRL EL,Physical Education General Elective,HESM 115,4690,GP,Baseball,
4684,L,1.00,PEPROF 172,Fundamental of Basketball,HESM 117,4690,,Basketball,
4684,L,1.00,PEGNRL 108,Beginning Bowling,HESM 123,4690,GP,Bowling I,
4684,L,1.00,PEGNRL 109,Intermediate Bowling,HESM 124,4690,GP,Bowling II,
4684,,1.00,PEGNRL EL,Physical Education General Elective,HESM 125,4690,GP,Bowling III,
4684,L,1.00,PEGNRL 159,Beginning Canoeing,HESM 126,4690,GP,Canoeing,
4684,,1.00,PEGNRL EL,Physical Education General Elective,HESM 132,4690,GP,Social Dance,
4684,,3.00,PEGNRL EL,Physical Education General Elective,HESM 137,4690,GP,Aerobic Walking,
