level,credits,course_2,title_2,course_1,gen_ed,title_1,special
None,1.00,MUSA 020,Applied Trumpet,MUSC 168,None,Trumpet/Horn Techniques,None
None,1.00,GEN EL,General Elective,MUSC 169,None,Marching Band,None
None,1.00-4.00,MUSA 180,Applied Voice,MUSC 170,None,Priv Vocal-Prim Prfm (L1),None
None,1.00,MUSI 102,Large Music Ensemble,MUSC 171,None,University Choirs,None
None,1.00,MUSI 102,Large Music Ensemble,MUSC 175,None,University Chorus,None
None,1.00,GEN EL,General Elective,MUSC 177,None,Class Voice I,None
None,1.00,MUSI 180,Class Voice,MUSC 178,None,Class Voice II,None
None,1.00-4.00,MUSA 110,Applied Piano,MUSC 180,None,Priv Piano-Prim Prfm (L1),None
None,3.00,GEN EL,General Elective,MUSC 181,None,Aural Skills I,None
None,1.00,MUSI 141,Keyboard Musicianship I,MUSC 186,None,Class Piano I,None
None,1.00,MUSI 142,Keyboard Musicianship II,MUSC 187,None,Class Piano II,None
None,1.00,MUSI 241,Keyboard Musicianship III,MUSC 188,None,Class Piano III,None
None,1.00,MUSI 242,Music Literature Lab,MUSC 189,None,Functional Class Piano,None
None,1.00,GEN EL,General Elective,MUSC 190,None,Music Improvisation,None
None,3.00,GEN EL,General Elective,MUSC 240,None,Survey of African Amer Music,None
None,3.00,GEN EL,General Elective,MUSC 241,None,Survey of Latin Amer Music,None
None,2.00,MUSI 202,Music Literature,MUSC 242,None,Intro to Music Literature,None
None,3.00,GEN EL,General Elective,MUSC 244,None,Native American Music,None
None,3.00,GEN EL,General Elective,MUSC 245,None,Music History I,None
None,3.00,GEN EL,General Elective,MUSC 246,None,Music History II,None
None,3.00,GEN EL,General Elective,MUSC 247,None,Music History III,None
None,2.00,MUSI 221,Music Theory III,MUSC 251,None,Theory III,None
None,2.00,MUSI 222,Music Theory IV,MUSC 252,None,Theory IV,None
None,2.00,MUSI 225,Aural Music Theory III,MUSC 253,None,Aural Skills III,None
None,2.00,MUSI 226,Popular Music Theory,MUSC 254,None,Aural Skills IV,None
None,2.00,GEN EL,General Elective,MUSC 255,None,Elctronic Music Synthesis,None
None,1.00-4.00,MUSI EL,Music Elective,MUSC 260,None,Priv Instr-Prim Prfm (L2),None
None,0.50,MUSA 060,Applied Flute,MUSC 265,None,Flute Techniques,None
None,1.00,GEN EL,General Elective,MUSC 266,None,Intermediate Guitar,None
None,1.00,MUSI EL,Music Elective,MUSC 267,None,Cello/String Bass Tech,None
None,1.00,MUSI EL,Music Elective,MUSC 268,None,Trom/Baritone/Tuba Tech,None
None,1.00,GEN EL,General Elective,MUSC 269,None,Instrumental Ensemble,None
None,1.00-4.00,MUSA 280,Applied Voice,MUSC 270,None,Priv Vocal-Prim Prfm (L2),None
None,1.00,GEN EL,General Elective,MUSC 271,None,Opera Performance Tech,None
None,1.00,GEN EL,General Elective,MUSC 272,None,Practicum Music Theatre,None
None,3.00,GEN EL,General Elective,MUSC 273,None,Jazz History & Appreciation,None
None,3.00,GEN EL,General Elective,MUSC 275,None,Diction For Singers I,None
None,2.00,MUSI EL,Music Elective,MUSC 276,None,Diction For Singers II,None
None,0.50,GEN EL,General Elective,MUSC 279,None,Vocal Ensemble,None
None,1.00-4.00,MUSA 210,Applied Piano,MUSC 280,None,Priv Piano-Prim Prfm (L2),None
None,2.00,MUSA 212,Applied Organ,MUSC 281,None,Aural Skills III,None
None,2.00,GEN EL,General Elective,MUSC 290,None,Technology Music Educators,None
None,1.00,GEN EL,General Elective,MUSC 292,None,Instrumental Techniques,None
None,3.00,ACSK 010,Essential Math Skills,MATH 040,None,Pre-Algebra,None
None,4.00,ACSK 015,Elementary Algebra,MATH 041,None,Beginning Algebra,None
None,3.00,GEN EL,General Elective,MATH 102,None,Descriptve Geometry,None
None,3.00,MATH 215,Math Mdl Chld-Erly Adl Tchr  I,MATH 111,None,Math Elem Teacher I,None
None,3.00,MATH 216,Math Mdl Chd-Erly Adl Tchr  II,MATH 112,None,Math Elem Teacher II,None
None,3.00,MATH 102,Survey of Mathematics,MATH 139,None,Quantitative Reasoning,None
None,3.00,MATH 102,Survey of Mathematics,MATH 140,None,Mathematical Ideas,None
