	to	level	credits	course_2	title_2	course_1	from_	gen_ed	title_1,special
1949	4670		2.0	GEN CONF	General Confer	ART (815) 225	Madison Area Tech. College		
1950	4670		3.0	GEN CONF	General Confer	ART (815) 226	Madison Area Tech. College		
1951	4670	L	2.0	ART EL	Art Elective	ART (815) 230	Madison Area Tech. College		
1952	4670	L	3.0	C J 284	Intro Photography	ART (815) 234	Madison Area Tech. College	LE-S3	
1953	4670	L	3.0	ART 281	Intro Photo Art	ART (815) 235	Madison Area Tech. College	GE-IV, LE-S3	
1954	4670	U	3.0	ART 481	Adv Studio Photo	ART (815) 236	Madison Area Tech. College		
1955	4670		3.0	GEN CONF	General Confer	ART (815) 237	Madison Area Tech. College		
1956	4670		3.0	GEN CONF	General Confer	ART (815) 238	Madison Area Tech. College		
1957	4670	L	3.0	GEN EL	General Elective	ART (815) 241	Madison Area Tech. College		
1958	4670	L	3.0	ART 244	Intro to Painting	ART (815) 242	Madison Area Tech. College		
1959	4670	L	3.0	ART EL	Art Elective	ART (815) 253	Madison Area Tech. College		
1960	4670	L	3.0	ART EL	Art Elective	ART (815) 254	Madison Area Tech. College		
1961	4670		3.0	GEN CONF	General Confer	ART (815) 256	Madison Area Tech. College		
1962	4670	L	2.0	GEN EL	General Elective	ART (815) 262	Madison Area Tech. College		
1963	4670		2.0	GEN CONF	General Confer	ART (815) 270	Madison Area Tech. College		
1964	4670	L	2.0	GEN EL	General Elective	ART (815) 280	Madison Area Tech. College		
1965	4670		3.0	GEN CONF	General Confer	ART (815) 281	Madison Area Tech. College		
1966	4670		3.0	GEN CONF	General Confer	ART (815) 282	Madison Area Tech. College		
1967	4670	L	3.0	GEN EL	General Elective	ART (815) 284	Madison Area Tech. College		
1968	4670	L	3.0	GEN EL	General Elective	ART (815) 285	Madison Area Tech. College		
1969	4670	L	3.0	ART 252	Print:Serig-Beg	ART (815) 286	Madison Area Tech. College		
1970	4670	L	3.0	GEN EL	General Elective	ART (815) 287	Madison Area Tech. College		
1971	4670	L	1.0	GEN EL	General Elective	ART (815) 288	Madison Area Tech. College		
1972	4670	U	3.0	ART 357	Intro to Ceramics	ART (815) 290	Madison Area Tech. College		
1973	4670	U	3.0	ART 358	Interm Ceramics	ART (815) 291	Madison Area Tech. College		
1974	4670	L	3.0	ART 247	Water-Media I	ART (815) 292	Madison Area Tech. College		
1975	4670		3.0	GEN CONF	General Confer	ART (815) 293	Madison Area Tech. College		
1976	4670		3.0	GEN CONF	General Confer	ART (815) 294	Madison Area Tech. College		
1977	4670		3.0	GEN CONF	General Confer	ART (815) 295	Madison Area Tech. College		
1978	4670		3.0	GEN CONF	General Confer	ART (815) 296	Madison Area Tech. College		
1979	4670		3.0	GEN CONF	General Confer	ART (815) 297	Madison Area Tech. College		
1980	4670		3.0	GEN CONF	General Confer	ART (815) 298	Madison Area Tech. College		
1981	9999	L	4.0	BUS 201	Intro Accounting	ACCTG (101) 111	Madison Area Tech. College	AP	
1982	9999	L	3.0	BIO 105	Origins Medical Term	MEDTERM (501) 101	Madison Area Tech. College	EL	
